RID,NCBI_GeneID,NCBI_Symbol,count,rank,Group,Specimen,Probe,Antibody_Test,Allele,Anchor_Gene,Marker_Gene,Mouse_Strain
Q-7DNA,434423,Dppa5a,4,1161,Dataset,4,4,0,0,0,0,0
Q-A21E,102640971,CJ186046Rik,4,1162,Chaise,4,4,0,0,0,0,0
Q-3M5Y,216,ALDH1A1,3,1163,SSR,0,0,3,0,0,0,0
Q-3ME2,367,AR,3,1164,Dataset,3,0,3,0,0,0,0
Q-3QQA,2321,FLT1,3,1165,Chaise,0,0,3,0,0,0,0
Q-3QQM,2327,FMO2,3,1166,SSR,3,3,0,0,0,0,0
Q-3TBR,3934,LCN2,3,1167,Dataset,0,0,3,0,0,0,0
Q-3TY0,4288,MKI67,3,1168,Chaise,3,0,3,0,0,0,0
Q-3W2P,5087,PBX1,3,1169,SSR,3,3,0,0,0,0,0
Q-3XM0,5979,RET,3,1170,Dataset,3,3,0,0,0,0,0
Q-3Y2M,6275,S100A4,3,1171,Chaise,3,0,3,0,0,0,0
Q-3YKG,6570,SLC18A1,3,1172,SSR,3,3,0,0,0,0,0
Q-3YTJ,6694,SPP2,3,1173,Dataset,3,3,0,0,0,0,0
Q-3Z7T,6928,HNF1B,3,1174,Chaise,3,3,0,0,0,0,0
Q-3Z8T,6948,TCN2,3,1175,SSR,3,3,0,0,0,0,0
Q-3ZJ4,7122,CLDN5,3,1176,Dataset,3,3,0,0,0,0,0
Q-41Y4,9423,NTN1,3,1177,Chaise,3,3,0,0,0,0,0
Q-43S0,9963,SLC23A1,3,1178,SSR,3,3,0,0,0,0,0
Q-46BM,11636,Ak1,3,1179,Dataset,3,3,0,0,0,0,0
Q-46PW,11906,Zfhx3,3,1180,Chaise,3,3,0,0,0,0,0
Q-476R,12351,Car4,3,1181,SSR,3,3,0,0,0,0,0
Q-47DA,12505,Cd44,3,1182,Dataset,3,3,0,0,0,0,0
Q-47GG,12576,Cdkn1b,3,1183,Chaise,3,3,0,0,0,0,0
Q-47GJ,12577,Cdkn1c,3,1184,SSR,3,3,0,0,0,0,0
Q-47T2,12821,Col17a1,3,1185,Dataset,3,3,0,0,0,0,0
Q-47XY,12913,Creb3,3,1186,Chaise,3,3,0,0,0,0,0
Q-48JE,13486,Dr1,3,1187,SSR,3,3,0,0,0,0,0
Q-48KE,13507,Dsc3,3,1188,Dataset,3,3,0,0,0,0,0
Q-48MY,13555,E2f1,3,1189,Chaise,3,3,0,0,0,0,0
Q-48P8,13608,Edar,3,1190,SSR,3,3,0,0,0,0,0
Q-48RA,13655,Egr3,3,1191,Dataset,3,3,0,0,0,0,0
Q-48RC,13656,Egr4,3,1192,Chaise,3,3,0,0,0,0,0
Q-48ST,13712,Elk1,3,1193,SSR,3,3,0,0,0,0,0
Q-48WW,13845,Ephb3,3,1194,Dataset,3,3,0,0,0,0,0
Q-48ZA,13983,Esr2,3,1195,Chaise,3,3,0,0,0,0,0
Q-490P,14025,Bcl11a,3,1196,SSR,3,3,0,0,0,0,0
Q-49BY,14284,Fosl2,3,1197,Dataset,3,3,0,0,0,0,0
Q-49QG,14619,Gjb2,3,1198,Chaise,3,3,0,0,0,0,0
Q-49ZY,14804,Grid2,3,1199,SSR,3,3,0,0,0,0,0
Q-4ACR,15221,Foxd3,3,1200,Dataset,3,3,0,0,0,0,0
Q-4AE8,15270,H2afx,3,1201,Chaise,0,0,3,0,0,0,0
Q-4AGP,15377,Foxa3,3,1202,SSR,3,3,0,0,0,0,0
Q-4AGT,15379,Onecut1,3,1203,Dataset,3,3,0,0,0,0,0
Q-4AHP,15403,Hoxa6,3,1204,Chaise,3,3,0,0,0,0,0
Q-4AJA,15415,Hoxb7,3,1205,SSR,3,3,0,3,0,0,0
Q-4B4M,16322,Inha,3,1206,Dataset,3,3,0,0,0,0,0
Q-4B6M,16370,Irs4,3,1207,Chaise,3,3,0,0,0,0,0
Q-4BBY,16492,Kcna4,3,1208,SSR,3,3,0,0,0,0,0
Q-4BC6,16497,Kcnab1,3,1209,Dataset,3,3,0,0,0,0,0
Q-4BM6,16656,Hivep3,3,1210,Chaise,3,3,0,0,0,0,0
Q-4BMP,16665,Krt15,3,1211,SSR,3,3,0,0,0,0,0
Q-4C26,17119,Mxd1,3,1212,Dataset,3,3,0,0,0,0,0
Q-4CBA,17318,Mid1,3,1213,Chaise,3,3,0,0,0,0,0
Q-4CCE,17364,Trpm1,3,1214,SSR,3,3,0,0,0,0,0
Q-4CHC,17684,Cited2,3,1215,Dataset,3,3,0,0,0,0,0
Q-4CV4,17951,Naip5,3,1216,Chaise,3,3,0,0,0,0,0
Q-4CYW,18029,Nfic,3,1217,SSR,3,3,0,0,0,0,0
Q-4CZ0,18032,Nfix,3,1218,Dataset,3,3,0,0,0,0,0
Q-4D22,18111,Nnat,3,1219,Chaise,3,3,0,0,0,0,0
Q-4D4M,18171,Nr1i2,3,1220,SSR,3,3,0,0,0,0,0
Q-4DM8,18606,Enpp2,3,1221,Dataset,3,3,0,0,0,0,0
Q-4DN0,18619,Penk,3,1222,Chaise,3,3,0,0,0,0,0
Q-4DYA,18854,Pml,3,1223,SSR,3,3,0,0,0,0,0
Q-4E5G,19116,Prlr,3,1224,Dataset,3,3,0,0,0,0,0
Q-4E8J,19193,Pipox,3,1225,Chaise,3,3,0,0,0,3,0
Q-4F18,19687,Rfc1,3,1226,SSR,3,3,0,0,0,0,0
Q-4F2E,19712,Rest,3,1227,Dataset,3,3,0,0,0,0,0
Q-4F5J,19824,Trim10,3,1228,Chaise,3,3,0,0,0,0,0
Q-4FBM,20128,Trim30a,3,1229,SSR,3,3,0,0,0,0,0
Q-4FCT,20183,Rxrg,3,1230,Dataset,3,3,0,0,0,0,0
Q-4FTP,20474,Six4,3,1231,Chaise,3,3,0,0,0,0,0
Q-4FZ6,20588,Smarcc1,3,1232,SSR,3,3,0,0,0,0,0
Q-4FZG,20592,Kdm5d,3,1233,Dataset,3,3,0,0,0,0,0
Q-4G7A,20753,Sprr1a,3,1234,Chaise,3,3,0,0,0,0,0
Q-4G8R,20787,Srebf1,3,1235,SSR,3,3,0,0,0,0,0
Q-4G9G,20821,Trim21,3,1236,Dataset,3,3,0,0,0,0,0
Q-4GAP,20850,Stat5a,3,1237,Chaise,3,3,0,0,0,0,0
Q-4GCC,20893,Bhlhe40,3,1238,SSR,3,3,0,0,0,0,0
Q-4GCE,20897,Stra6,3,1239,Dataset,3,3,0,0,0,0,0
Q-4H64,21386,Tbx3,3,1240,Chaise,3,3,0,0,0,0,0
Q-4H70,21408,Zfp354a,3,1241,SSR,3,3,0,0,0,0,0
Q-4H7E,21416,Tcf7l2,3,1242,Dataset,3,3,0,0,0,0,0
Q-4H7T,21422,Tfcp2,3,1243,Chaise,3,3,0,0,0,0,0
Q-4H84,21428,Mlx,3,1244,SSR,3,3,0,0,0,0,0
Q-4HBT,21676,Tead1,3,1245,Dataset,3,3,0,0,0,0,0
Q-4HC4,21752,Tert,3,1246,Chaise,3,3,0,0,0,0,0
Q-4HE6,21780,Tfam,3,1247,SSR,3,3,0,0,0,0,0
Q-4HFE,21815,Tgif1,3,1248,Dataset,3,3,0,0,0,0,0
Q-4HHA,21849,Trim28,3,1249,Chaise,3,3,0,0,0,0,0
Q-4HRY,22051,Trip6,3,1250,SSR,3,3,0,0,0,0,0
Q-4HWW,22152,Tubb3,3,1251,Dataset,3,3,3,0,0,0,0
Q-4HZM,22221,Ubp1,3,1252,Chaise,3,3,0,0,0,0,0
Q-4J12,22256,Ung,3,1253,SSR,3,3,0,0,0,0,0
Q-4J84,22408,Wnt1,3,1254,Dataset,3,3,0,0,0,0,0
Q-4J8W,22420,Wnt6,3,1255,Chaise,3,3,0,0,0,0,0
Q-4JBG,22630,Ywhaq,3,1256,SSR,3,3,0,0,0,0,0
Q-4JC8,22646,Zfp105,3,1257,Dataset,3,3,0,0,0,0,0
Q-4JCT,22670,Trim26,3,1258,Chaise,3,3,0,0,0,0,0
Q-4JDA,22688,Zfp26,3,1259,SSR,3,3,0,0,0,0,0
Q-4JDJ,22693,Zfp30,3,1260,Dataset,3,3,0,0,0,0,0
Q-4JE8,22709,Zfp51,3,1261,Chaise,3,3,0,0,0,0,0
Q-4JF8,22756,Zfp94,3,1262,SSR,3,3,0,0,0,0,0
Q-4JFT,22767,Zfy1,3,1263,Dataset,3,3,0,0,0,0,0
Q-4JG2,22772,Zic2,3,1264,Chaise,3,3,0,0,0,0,0
Q-4JG4,22773,Zic3,3,1265,SSR,3,3,0,0,0,0,0
Q-4JG6,22774,Zic4,3,1266,Dataset,3,3,0,0,0,0,0
Q-4JG8,22775,Zik1,3,1267,Chaise,3,3,0,0,0,0,0
Q-4JGE,22779,Ikzf2,3,1268,SSR,3,3,0,0,0,0,0
Q-4M6J,23947,Mid2,3,1269,Dataset,3,3,0,0,0,0,0
Q-4MBC,24017,Rnf13,3,1270,Chaise,3,3,0,0,0,0,0
Q-4MC0,24053,Sgcg,3,1271,SSR,3,3,0,0,0,0,0
Q-4MF0,24132,Zfp53,3,1272,Dataset,3,3,0,0,0,0,0
Q-4N9A,26374,Cop1,3,1273,Chaise,3,3,0,0,0,0,0
Q-4NC8,26427,Creb3l1,3,1274,SSR,3,3,0,0,0,0,0
Q-4PDG,27274,Zfp354b,3,1275,Dataset,3,3,0,0,0,0,0
Q-4SAG,29820,Tnfrsf19,3,1276,Chaise,3,3,0,0,0,0,0
Q-4SCT,29864,Rnf11,3,1277,SSR,3,3,0,0,0,0,0
Q-4SMM,30054,Rnf17,3,1278,Dataset,3,3,0,0,0,0,0
Q-4SMT,30057,Timm8b,3,1279,Chaise,3,3,0,0,0,0,0
Q-4SSJ,30932,Zfp330,3,1280,SSR,3,3,0,0,0,0,0
Q-4STC,30945,Rnf19a,3,1281,Dataset,3,3,0,0,0,0,0
Q-4T7C,50927,Nasp,3,1282,Chaise,3,3,0,0,0,0,0
Q-4WBG,52712,Zkscan6,3,1283,SSR,3,3,0,0,0,0,0
Q-4X28,53417,Hif3a,3,1284,Dataset,3,3,0,0,0,0,0
Q-4XJE,53970,Rfx5,3,1285,Chaise,3,3,0,0,0,0,0
Q-4Y2W,54483,Mefv,3,1286,SSR,3,3,0,0,0,0,0
Q-4YCC,54678,Zfp108,3,1287,Dataset,3,3,0,0,0,0,0
Q-4YDA,54713,Fezf2,3,1288,Chaise,3,3,0,0,0,0,0
Q-508P,55991,Panx1,3,1289,SSR,3,3,0,0,0,0,0
Q-50R6,56314,Zfp113,3,1290,Dataset,3,3,0,0,0,0,0
Q-50RM,56321,Aatf,3,1291,Chaise,3,3,0,0,0,0,0
Q-50VM,56380,Arid3b,3,1292,SSR,3,3,0,0,0,0,0
Q-5110,56501,Elf4,3,1293,Dataset,3,3,0,0,0,0,0
Q-51E4,56869,Zfp109,3,1294,Chaise,3,3,0,0,0,0,0
Q-51EA,56874,Rnf32,3,1295,SSR,3,3,0,0,0,0,0
Q-51FE,56898,BDH2,3,1296,Dataset,3,3,0,0,0,0,0
Q-52NJ,57745,Zfp112,3,1297,Chaise,3,3,0,0,0,0,0
Q-52P8,57756,Fhl5,3,1298,SSR,3,3,0,0,0,0,0
Q-52Q8,57782,Rbak,3,1299,Dataset,3,3,0,0,0,0,0
Q-5344,58805,Mlxipl,3,1300,Chaise,3,3,0,0,0,0,0
Q-5352,58894,Zfp862-ps,3,1301,SSR,3,3,0,0,0,0,0
Q-58M6,64424,Polr1e,3,1302,Dataset,3,3,0,0,0,0,0
Q-591J,65020,Zfp110,3,1303,Chaise,3,3,0,0,0,0,0
Q-59RP,66361,Zfand1,3,1304,SSR,3,3,0,0,0,0,0
Q-59YG,66482,Exoc2,3,1305,Dataset,3,3,0,0,0,0,0
Q-5A16,66549,Aggf1,3,1306,Chaise,3,3,0,0,0,0,0
Q-5A30,66597,Trim13,3,1307,SSR,3,3,0,0,0,0,0
Q-5AC0,66809,Krt20,3,1308,Dataset,3,3,0,3,0,0,3
Q-5AFW,66889,Rnf128,3,1309,Chaise,3,3,0,0,0,0,0
Q-5AJG,66953,Cdca7,3,1310,SSR,3,3,0,0,0,0,0
Q-5AKR,66979,Pole4,3,1311,Dataset,3,3,0,0,0,0,0
Q-5AM8,66993,Smarcd3,3,1312,Chaise,3,3,0,0,0,0,0
Q-5AMT,67005,Polr3k,3,1313,SSR,3,3,0,0,0,0,0
Q-5AVJ,67144,Lrrc40,3,1314,Dataset,3,3,0,0,0,0,0
Q-5AVR,67149,Nkain1,3,1315,Chaise,3,3,0,0,0,0,0
Q-5AVT,67150,Rnf141,3,1316,SSR,3,3,0,0,0,0,0
Q-5AWW,67178,Zmat5,3,1317,Dataset,3,3,0,0,0,0,0
Q-5B08,67256,Dlx6os3,3,1318,Chaise,3,3,0,0,0,0,0
Q-5B4C,67338,Rffl,3,1319,SSR,3,3,0,0,0,0,0
Q-5B4J,67341,Ascl4,3,1320,Dataset,3,3,0,0,0,0,0
Q-5BB4,67492,Zfand4,3,1321,Chaise,3,3,0,0,0,0,0
Q-5BME,67702,Rnf149,3,1322,SSR,3,3,0,0,0,0,0
Q-5BRE,67785,Zmym4,3,1323,Dataset,3,3,0,0,0,0,0
Q-5BTP,67845,Rnf115,3,1324,Chaise,3,3,0,0,0,0,0
Q-5CMJ,68521,Fam189b,3,1325,SSR,3,3,0,0,0,0,0
Q-5CZY,68897,Disp1,3,1326,Dataset,3,3,0,0,0,0,0
Q-5D3A,68992,Zfp580,3,1327,Chaise,3,3,0,0,0,0,0
Q-5D8M,69149,Kbtbd3,3,1328,SSR,3,3,0,0,0,0,0
Q-5DA4,69188,Kmt2e,3,1329,Dataset,3,3,0,0,0,3,0
Q-5DVW,69665,Upk3bl,3,1330,Chaise,3,3,0,0,0,0,0
Q-5E3Y,69876,Thap3,3,1331,SSR,3,3,0,0,0,0,0
Q-5E4J,69890,Zfp219,3,1332,Dataset,3,3,0,0,0,0,0
Q-5E5W,69930,Zfp715,3,1333,Chaise,3,3,0,0,0,0,0
Q-5E9M,70044,Tut1,3,1334,SSR,3,3,0,0,0,0,0
Q-5EBT,70118,Srrd,3,1335,Dataset,3,3,0,0,0,0,0
Q-5EF4,70238,Rnf168,3,1336,Chaise,3,3,0,0,0,0,0
Q-5ERP,70508,Bbx,3,1337,SSR,3,3,0,0,0,0,0
Q-5ERT,70510,Rnf167,3,1338,Dataset,3,3,0,0,0,0,0
Q-5EV4,70574,Cpm,3,1339,Chaise,3,3,0,0,0,0,0
Q-5EXP,70673,Prdm16,3,1340,SSR,3,3,0,0,0,0,0
Q-5F12,70796,Zdhhc1,3,1341,Dataset,3,3,0,0,0,0,0
Q-5F6J,70928,Trim69,3,1342,Chaise,3,3,0,0,0,0,0
Q-5F8P,70974,Pgm2l1,3,1343,SSR,3,3,0,0,0,0,0
